COD_SUOLO,DESC_SUOLO,Corrected English Crop Name,HRL_Code,HRL_Name,Confidence,Matched_By
666,SEMINATIVI,Arable crops,,,none,no_match
156,USO NON AGRICOLO - ALTRO,Non-agricultural use - other,,,none,no_match
780,USO NON AGRICOLO - TARE,Non-agricultural use - tare,,,none,no_match
629,ORTI FAMILIARI,Family gardens,,,none,no_match
789,MARGINI DEI CAMPI,Field margins,,,none,no_match
157,USO NON AGRICOLO - FABBRICATI,,,,none,no_match
788,SIEPI E FASCE ALBERATE,Hedges and tree strips,,,none,no_match
240,BARBABIETOLA,,,,none,no_match
651,COLTIVAZIONI ARBOREE SPECIALIZZATE,Specialized tree crops,,,none,no_match
386,MARGINI DEI CAMPI SEMINABILI,Field margins (arable),,,none,no_match
786,FOSSATI E CANALI,Ditches and canals,,,none,no_match
791,FASCE TAMPONE RIPARIALI,Riparian buffer strips,,,none,no_match
562,ERBA MEDICA,Alfalfa,,,none,no_match
650,BOSCO,Woodland,,,none,no_match
770,USO NON AGRICOLO - AREE NON COLTIVABILI,,,,none,no_match
214,SUPERFICI AGRICOLE RITIRATE DALLA PRODUZIONE,Agricultural land withdrawn from production,,,none,no_match
685,COLTIVAZIONI ARBOREE PROMISCUE (PIU' SPECIE ARBOREE),Mixed tree crops,,,none,no_match
500,ARBORICOLTURA,Arboriculture,,,none,no_match
784,"MACERI, STAGNI E LAGHETTI",,,,none,no_match
557,SERRE,,,,none,no_match
940,ZUCCA,Pumpkin,,,none,no_match
336,PRATO POLIFITA,Mixed grassland,,,none,no_match
783,ALBERI IN FILARE,Trees in rows,,,none,no_match
785,GRUPPI DI ALBERI E BOSCHETTI,Groups of trees and groves,,,none,no_match
357,ERBA MEDICA  (SP. MEDICAGO SATIVA L. (VARIETA')),,,,none,no_match
065,PASCOLO POLIFITA,Mixed pasture,,,none,no_match
793,ALBERI ISOLATI,Isolated trees,,,none,no_match
660,MANUFATTI,Manufactured goods,,,none,no_match
103,PASCOLO ARBORATO - CESPUGLIATO TARA 20%,Wooded pasture (20% tare),,,none,no_match
722,MISCUGLIO DI AZOTOFISSATRICI,Nitrogen-fixing crop mix,,,none,no_match
054,PASCOLO ARBORATO - TARA 50%,Wooded pasture (50% tare),,,none,no_match
936,RAVANELLO,Radish,,,none,no_match
069,PIOPPO,Poplar,,,none,no_match
800,ERBAIO,Green fodder,,,none,no_match
188,PAULOWNIA TOMENTOSA,Empress tree (Paulownia),,,none,no_match
152,TRIFOGLIO,Clover,,,none,no_match
332,FACELIA,Phacelia,,,none,no_match
966,SALVIA,Sage,,,none,no_match
392,ORTICA,Nettle,,,none,no_match
394,PASSIFLORA,Passionflower,,,none,no_match
933,PREZZEMOLO,Parsley,,,none,no_match
445,LAVANDA,Lavender,,,none,no_match
951,TIMO,Thyme,,,none,no_match
