COD_SUOLO,DESC_SUOLO,English_Name,HRL_Code,HRL_Name,Confidence,Matched_By,Is_Excluded
666,SEMINATIVI,Arable crops,,,none,no_match,False
651,COLTIVAZIONI ARBOREE SPECIALIZZATE,Specialized tree crops,,,none,no_match,False
562,ERBA MEDICA,Alfalfa,,,none,no_match,False
650,BOSCO,Woodland,,,none,no_match,False
685,COLTIVAZIONI ARBOREE PROMISCUE (PIU' SPECIE ARBOREE),Mixed tree crops,,,none,no_match,False
500,ARBORICOLTURA,Arboriculture,,,none,no_match,False
940,ZUCCA,Pumpkin,,,none,no_match,False
336,PRATO POLIFITA,Mixed grassland,,,none,no_match,False
783,ALBERI IN FILARE,Trees in rows,,,none,no_match,False
785,GRUPPI DI ALBERI E BOSCHETTI,Groups of trees and groves,,,none,no_match,False
357,ERBA MEDICA  (SP. MEDICAGO SATIVA L. (VARIETA')),Alfalfa,,,none,no_match,False
065,PASCOLO POLIFITA,Mixed pasture,,,none,no_match,False
793,ALBERI ISOLATI,Isolated trees,,,none,no_match,False
660,MANUFATTI,Manufactured goods,,,none,no_match,False
722,MISCUGLIO DI AZOTOFISSATRICI,Nitrogen-fixing crop mix,,,none,no_match,False
936,RAVANELLO,Radish,,,none,no_match,False
069,PIOPPO,Poplar,,,none,no_match,False
800,ERBAIO,Green fodder,,,none,no_match,False
188,PAULOWNIA TOMENTOSA,Empress tree (Paulownia),,,none,no_match,False
152,TRIFOGLIO,Clover,,,none,no_match,False
332,FACELIA,Phacelia,,,none,no_match,False
966,SALVIA,Sage,,,none,no_match,False
392,ORTICA,Nettle,,,none,no_match,False
394,PASSIFLORA,Passionflower,,,none,no_match,False
933,PREZZEMOLO,Parsley,,,none,no_match,False
445,LAVANDA,Lavender,,,none,no_match,False
951,TIMO,Thyme,,,none,no_match,False
457,ECHINACEA PALLIDA,Echinacea pallida,,,none,no_match,False
964,MAGGIORANA,Marjoram,,,none,no_match,False
668,EUCALIPTO,Eucalyptus,,,none,no_match,False
963,ORIGANO,Oregano,,,none,no_match,False
965,ROSMARINO,Rosemary,,,none,no_match,False
348,MALVA,Mallow,,,none,no_match,False
903,BASILICO,Basil,,,none,no_match,False
471,LOTO (KAKI) (COMPRESO IL CACO MELA),Persimmon,,,none,no_match,False
952,ZAFFERANO,Saffron,,,none,no_match,False
077,SENAPE,Mustard,,,none,no_match,False
734,FIORI EDULI,Edible flowers,,,none,no_match,False
899,PRATO PASCOLO,Pasture meadow,,,none,no_match,False
436,SENAPE BRUNA,Brown mustard,,,none,no_match,False
935,RADICCHIO,Radicchio,,,none,no_match,False
541,MIZUNA O BRASSICA RAPA,Mizuna,,,none,no_match,False
919,CICORIA,Chicory,,,none,no_match,False
501,TARTUFO,Truffle,,,none,no_match,False
303,FAGGIO,,,,none,no_match,False
917,CETRIOLO,Cucumber,,,none,no_match,False
507,PIANTE AROMATICHE E MEDICINALI E SPEZIE,Aromatic and medicinal plants and spices,,,none,no_match,False
646,PIANTE ORNAMENTALI,Ornamental plants,,,none,no_match,False
