COD_SUOLO,DESC_SUOLO,English_Name,HRL_Code,HRL_Name,Confidence,Matched_By,Is_Excluded
1,GRANTURCO (MAIS),Maize (corn),1130.0,Maize,very_high,manual_override,False
666,SEMINATIVI,Arable crops,3100.0,Unclassified arable crop,manual,manual_correction,False
4,SOIA,Soybean,1420.0,Soybeans,very_high,manual_override,False
156,USO NON AGRICOLO - ALTRO,Non-agricultural use - other,,,excluded,non_agricultural,True
2,GRANO (FRUMENTO) DURO,Durum wheat,1110.0,Wheat,very_high,manual_override,False
780,USO NON AGRICOLO - TARE,Non-agricultural use - tare,,,excluded,non_agricultural,True
629,ORTI FAMILIARI,Family gardens,,,excluded,non_agricultural,True
789,MARGINI DEI CAMPI,Field margins,,,excluded,non_agricultural,True
157,USO NON AGRICOLO - FABBRICATI,,,,excluded,non_agricultural,True
788,SIEPI E FASCE ALBERATE,Hedges and tree strips,,,excluded,non_agricultural,True
240,BARBABIETOLA,Beetroot / Swiss chard,1320.0,Sugar Beet,very_high,manual_override,False
651,COLTIVAZIONI ARBOREE SPECIALIZZATE,Specialized tree crops,3200.0,Unclassified permanent crop,manual,manual_correction,False
587,GRANO (FRUMENTO) TENERO,Soft wheat,1110.0,Wheat,very_high,manual_override,False
386,MARGINI DEI CAMPI SEMINABILI,Field margins (arable),,,excluded,non_agricultural,True
786,FOSSATI E CANALI,Ditches and canals,,,excluded,non_agricultural,True
791,FASCE TAMPONE RIPARIALI,Riparian buffer strips,,,excluded,non_agricultural,True
562,ERBA MEDICA,Alfalfa,3100.0,Unclassified arable crop,manual,manual_correction,False
650,BOSCO,Woodland,,,none,no_match,False
770,USO NON AGRICOLO - AREE NON COLTIVABILI,,,,excluded,non_agricultural,True
214,SUPERFICI AGRICOLE RITIRATE DALLA PRODUZIONE,Agricultural land withdrawn from production,,,excluded,non_agricultural,True
685,COLTIVAZIONI ARBOREE PROMISCUE (PIU' SPECIE ARBOREE),Mixed tree crops,,,none,no_match,False
410,VITE,Vine (grapevine),2100.0,Grapes,very_high,manual_override,False
189,PERO,Pear,1220.0,Dry pulses,high,english:pea,False
673,SUSINO,Plum,2310.0,Fruits,high,italian:susino,False
831,ACTINIDIA (KIWI),Kiwi,2310.0,Fruits,high,italian:kiwi,False
44,MELO,Apple,2310.0,Fruits,high,italian:melo,False
500,ARBORICOLTURA,Arboriculture,3200.0,Unclassified permanent crop,manual,manual_correction,False
784,"MACERI, STAGNI E LAGHETTI",,,,excluded,non_agricultural,True
83,TOPINAMBUR,Jerusalem artichoke,1210.0,Fresh Vegetables,high,english:artichoke,False
557,SERRE,,,,excluded,non_agricultural,True
131,ORTIVE A PIENO CAMPO,Open-field vegetables,1210.0,Fresh Vegetables,high,english:vegetable,False
940,ZUCCA,Pumpkin,1210.0,Fresh Vegetables,manual,manual_correction,False
336,PRATO POLIFITA,Mixed grassland,,,none,no_match,False
3,COLZA,Rapeseed,1430.0,Rapeseed,high,italian:colza,False
801,PESCO,Peach,1220.0,Dry pulses,high,english:pea,False
