COD_SUOLO,DESC_SUOLO,Corrected English Crop Name,HRL_Code,HRL_Name,Confidence,Matched_By
001,GRANTURCO (MAIS),Maize (corn),1130,Maize,high,italian:mais
666,SEMINATIVI,Arable crops,,,none,no_match
004,SOIA,Soybean,1220,Dry pulses,high,english:bean
156,USO NON AGRICOLO - ALTRO,Non-agricultural use - other,,,none,no_match
002,GRANO (FRUMENTO) DURO,Durum wheat,1110,Wheat,high,italian:frumento
780,USO NON AGRICOLO - TARE,Non-agricultural use - tare,,,none,no_match
629,ORTI FAMILIARI,Family gardens,,,none,no_match
789,MARGINI DEI CAMPI,Field margins,,,none,no_match
157,USO NON AGRICOLO - FABBRICATI,,,,none,no_match
788,SIEPI E FASCE ALBERATE,Hedges and tree strips,,,none,no_match
240,BARBABIETOLA,,,,none,no_match
651,COLTIVAZIONI ARBOREE SPECIALIZZATE,Specialized tree crops,,,none,no_match
587,GRANO (FRUMENTO) TENERO,Soft wheat,1110,Wheat,high,italian:frumento
386,MARGINI DEI CAMPI SEMINABILI,Field margins (arable),,,none,no_match
786,FOSSATI E CANALI,Ditches and canals,,,none,no_match
791,FASCE TAMPONE RIPARIALI,Riparian buffer strips,,,none,no_match
562,ERBA MEDICA,Alfalfa,,,none,no_match
650,BOSCO,Woodland,,,none,no_match
770,USO NON AGRICOLO - AREE NON COLTIVABILI,,,,none,no_match
214,SUPERFICI AGRICOLE RITIRATE DALLA PRODUZIONE,Agricultural land withdrawn from production,,,none,no_match
685,COLTIVAZIONI ARBOREE PROMISCUE (PIU' SPECIE ARBOREE),Mixed tree crops,,,none,no_match
410,VITE,Vine (grapevine),1430,Rapeseed,high,english:rape
189,PERO,Pear,1220,Dry pulses,high,english:pea
673,SUSINO,Plum,2310,Fruits,high,italian:susino
831,ACTINIDIA (KIWI),Kiwi,2310,Fruits,high,italian:kiwi
044,MELO,Apple,2310,Fruits,high,italian:melo
500,ARBORICOLTURA,Arboriculture,,,none,no_match
784,"MACERI, STAGNI E LAGHETTI",,,,none,no_match
083,TOPINAMBUR,Jerusalem artichoke,1210,Fresh Vegetables,high,english:artichoke
557,SERRE,,,,none,no_match
131,ORTIVE A PIENO CAMPO,Open-field vegetables,1210,Fresh Vegetables,high,english:vegetable
940,ZUCCA,Pumpkin,,,none,no_match
336,PRATO POLIFITA,Mixed grassland,,,none,no_match
003,COLZA,Rapeseed,1430,Rapeseed,high,italian:colza
801,PESCO,Peach,1220,Dry pulses,high,english:pea
134,POMODORO,Tomato,1210,Fresh Vegetables,high,italian:pomodoro
121,FAGIOLINO,Green bean,1220,Dry pulses,high,english:bean
783,ALBERI IN FILARE,Trees in rows,,,none,no_match
693,SORGO,Sorghum,1150,Other cereals,high,italian:sorgo
785,GRUPPI DI ALBERI E BOSCHETTI,Groups of trees and groves,,,none,no_match
127,LATTUGA LATTUGHINO,Lettuce,1210,Fresh Vegetables,high,italian:lattuga
357,ERBA MEDICA  (SP. MEDICAGO SATIVA L. (VARIETA')),,,,none,no_match
924,COCOMERO,Watermelon,1210,Fresh Vegetables,high,italian:cocomero
870,ORZO,Barley,1120,Barley,high,italian:orzo
027,CAROTA,Carrot,1210,Fresh Vegetables,high,italian:carota
671,ALBICOCCO,Apricot,2310,Fruits,high,italian:albicocco
804,PESCO NETTARINA,Nectarine,2310,Fruits,high,italian:pesco
902,ASPARAGO,Asparagus,1210,Fresh Vegetables,high,italian:asparago
046,LOIETTO LOGLIO,Ryegrass,1150,Other cereals,high,english:rye
065,PASCOLO POLIFITA,Mixed pasture,,,none,no_match
710,PATATA,Potato,1310,Potatoes,high,italian:patata
020,PISELLO,Pea,1220,Dry pulses,high,italian:pisello
793,ALBERI ISOLATI,Isolated trees,,,none,no_match
660,MANUFATTI,Manufactured goods,,,none,no_match
103,PASCOLO ARBORATO - CESPUGLIATO TARA 20%,Wooded pasture (20% tare),,,none,no_match
130,MELONE,Melon,1210,Fresh Vegetables,high,italian:melone
722,MISCUGLIO DI AZOTOFISSATRICI,Nitrogen-fixing crop mix,,,none,no_match
122,FAGIOLO,Bean,1220,Dry pulses,high,italian:fagiolo
630,ARACHIDE,Peanut,1220,Dry pulses,high,english:pea
054,PASCOLO ARBORATO - TARA 50%,Wooded pasture (50% tare),,,none,no_match
009,FARRO,Emmer,1150,Other cereals,high,italian:farro
544,CECE,Chickpea,1220,Dry pulses,high,italian:cece
016,LENTICCHIE,Lentil,1220,Dry pulses,high,english:lentil
656,POMODORINO,Cherry tomato,1210,Fresh Vegetables,high,english:tomato
936,RAVANELLO,Radish,,,none,no_match
672,CILIEGIO,Cherry,2310,Fruits,high,italian:ciliegio
028,CAVOLO,Cabbage,1210,Fresh Vegetables,high,italian:cavolo
019,RISONE,Rice,1140,Rice,high,italian:riso
069,PIOPPO,Poplar,,,none,no_match
495,NOCE,Walnut,2320,Nuts,high,italian:noce
927,FRAGOLA,Strawberry,1210,Fresh Vegetables,high,italian:fragola
113,AGLIO,Garlic,1210,Fresh Vegetables,high,italian:aglio
800,ERBAIO,Green fodder,,,none,no_match
188,PAULOWNIA TOMENTOSA,Empress tree (Paulownia),,,none,no_match
420,OLIVO,Olive,2200,Olives,high,italian:olivo
005,GIRASOLE,Sunflower,1410,Sunflower,high,italian:girasole
152,TRIFOGLIO,Clover,,,none,no_match
921,CIPOLLA ANCHE DI TIPO LUNGO (echalion),,1210,Fresh Vegetables,high,italian:cipolla
332,FACELIA,Phacelia,,,none,no_match
966,SALVIA,Sage,,,none,no_match
392,ORTICA,Nettle,,,none,no_match
394,PASSIFLORA,Passionflower,,,none,no_match
933,PREZZEMOLO,Parsley,,,none,no_match
445,LAVANDA,Lavender,,,none,no_match
951,TIMO,Thyme,,,none,no_match
457,ECHINACEA PALLIDA,Echinacea pallida,,,none,no_match
556,VIVAI - ALTRI,Other nurseries,,,none,no_match
964,MAGGIORANA,Marjoram,,,none,no_match
