HRL_Code,HRL_Name,Feature_Count,Total_Area
0,Unmapped,135910,17029.7753
1110,Wheat,18304,50119.3654
1120,Barley,938,2470.3543
1130,Maize,10204,30696.7941
1140,Rice,620,4146.025
1150,Other cereals,1879,6279.3873
1210,Fresh Vegetables,5079,10914.9086
1220,Dry pulses,13192,12278.5432
1310,Potatoes,501,1315.5493
1320,Sugar Beet,1796,5385.1346
1410,Sunflower,412,1348.4551
1420,Soybeans,9450,27187.0296
1430,Rapeseed,189,1026.6911
1440,"Flax, cotton and hemp",16,17.1099
2100,Grapes,1083,538.6847
2200,Olives,195,146.278
2310,Fruits,6894,3249.6497
2320,Nuts,123,188.2382
3100,Unclassified arable crop,10216,25688.5324
3200,Unclassified permanent crop,2602,1243.8024
