Crop_Name,HRL_Code,HRL_Name,Total_Area_ha,Feature_Count
GRANO (FRUMENTO) TENERO,1110,Wheat,31562.3432,11434
GRANTURCO (MAIS),1130,Maize,30696.7941,10204
SOIA,1420,Soybeans,27187.0296,9450
GRANO (FRUMENTO) DURO,1110,Wheat,18551.0067,6851
ERBA MEDICA,3100,Unclassified arable crop,15522.2549,5828
SEMINATIVI,3100,Unclassified arable crop,8008.9084,3425
PERO,1220,Dry pulses,6763.2995,11005
POMODORO,1210,Fresh Vegetables,6004.8741,1283
BARBABIETOLA,1320,Sugar Beet,5385.1346,1796
RISONE,1140,Rice,4144.9996,618
PISELLO,1220,Dry pulses,3783.7973,977
SORGO,1150,Other cereals,2887.1605,1009
SUPERFICI AGRICOLE RITIRATE DALLA PRODUZIONE,0,Unmapped,2629.5422,5102
ORZO,1120,Barley,2470.3543,938
USO NON AGRICOLO - FABBRICATI,0,Unmapped,2439.9929,36180
MELO,2310,Fruits,2431.4171,3791
LOIETTO LOGLIO,1150,Other cereals,2167.3275,619
ERBA MEDICA  (SP. MEDICAGO SATIVA L. (VARIETA')),3100,Unclassified arable crop,1714.6394,555
USO NON AGRICOLO - TARE,0,Unmapped,1628.9887,22923
USO NON AGRICOLO - ALTRO,0,Unmapped,1558.8134,18317
